"12429","Cajón2"
"12432","HAB2 CAJ6 AB"
"12440","7j LLL"
"12451","Cajón3 AB"
"12452","HAB2 CAJ6 AB"
"12458","Cajón3 CCC"
"12459","HAB2 CAJ6 AB"
"12462","HAB2 CAJ6 AB"
"12467","HAB2 CAJ6 AB"
"12469","4D CC19"
"12472","2G AB"
"12473","2G AB"
"12477","2H AB"
"12478","H2c6AB"
"12479","2H AB"
"12481","H2c7 AB"
"12484","3i AB"
"12488","3i AB"
"12490","3H AB"
"12491","3h AB"
"12492","3H AB"
"12495","h2c7 ab"
"12497","1G AB"
"12504","Casa 5A"
"12506","1G AB"
"12507","3f ab"
"12509","casa 5a"
"12510","casa 5a"
"12511","4i CC19"
"12516","3H LLL"
"12519","1G LLL"
"12520","1G LLL"
"12525","9d LLL"
"12526","1i LLL"
"12528","2D LLL"
"12536","3H AB"
"12539","8H AB"
"12543","9e LLL"
"12551","3C 20H"
"12554","1i 19 p 20H?"
"12556","3C 19P"
"12557","2H LLL"
"12562","2i LLL"
"12563","2i LLL"
"12565","1F 19P"
"12566","cajon1 19cc"
"12567","H2c7"
"12568","cajon1"
"12571","Cajón3 CC19"
"12572","Cajón3"
"12573","Cajón3"
"12574","6H CC19"
"12576","cajon1 cc19"
"12581","1F AB"
"12585","6H LLL"
"12587","3E LLL"
"12593","5g LLL"
"12595","5c CC19"
"12596","3D CC19"
"12597","3G cc19"
"12598","3G cc19"
"12599","3G cc19"
"12602","7c AB"
"12608","1J ab"
"12609","1J ab"
"12610","1e G18"
"12612","3E G18"
"12613","3E G18"
"12614","3E G18"
"12615","3E G18"
"12617","3E G18"
"12620","3F LLL"
"12621","3F LLL"
"12629","3F LLL"
"12633","3E LLL"
"12639","4F g18"
"12641","2f LLL"
"12644","6i LLL"
"12650","4F LLL"
"12656","4C AB"
"12657","7G AB"
"12661","6F AB"
"12663","6F AB"
"12668","6F AB"
"12669","4A AB"
"12673","6F AB"
"12674","6F AB"
"12675","6F AB"
"12676","6F AB"
"12677","6F AB"
"12678","6F AB"
"12679","6F AB"
"12680","6F AB"
"12683","6F Ab"
"12684","6F Ab"
"12685","6F Ab"
"12686","6F Ab"
"12687","6F Ab"
"12688","4B AB"
"12690","3b AB"
"12691","4B"
"12692","2c AB"
"12693","1G AB"
"12695","4E Ab"
"12697","3E AB"
"12698","3F AB"
"12701","4A AB"
"12707","9D ab"
"12708","2H AB"
"12711","2H AB"
"12712","2H ab"
"12715","2f AB"
"12724","2L LLL"
"12725","3F LLL"
"12726","3g AB"
"12727","1E CC19"
"12730","3D H20"
"12731","3F H20"
"12732","3D LLL"
"12733","3D LLL"
"12738","3D G18"
"12743","3G LLL"
"12747","3E 20H"
"12748","3F 20H"
"12750","3F AB"
"12751","3F LLL"
"12756","b2c"
"12762","13C"
"12770","13C"
"12772","1J j20"
"12773","13C j20"
"12775","4i J20"
"12776","1J J20"
"12781","3i J20"
"12782","3E J20"
"12783","1C J20"
"12786","4H J20"
"12787","6h J20"
"12788","3h J20"
"12789","3H J20"
"12793","1i 19P"
"12794","6F AB"
"12795","6F AB"
"12797","1J J20"
"12798","2F J20"
"12801","1i J20"
"12802","1i J20"
"12803","2F J20"
"12805","6B lll"
"12809","3J 19CC"
"12812","1J H20"
"12813","2i 20anticuario."
"12816","3H AB"
"12817","3h LLL"
"12819","3F LLL"
"12822","4D LLL"
"12823","4D AB"
"12824","3D ab"
"12825","3G AB"
"12826","2E AB"
"12829","3B AB"
"12830","2G AB"
"12831","2G AB"
"12832","2G AB"
"12834","2i AB"
"12835","3i AB"
"12838","3i AB"
"12839","3i AB"
"12856","3F LLL"
"12860","3D AB"
"12862","3E AB"
"12872","1E AB"
"12874","2E AB"
"12883","1F LLL"
"12887","2B LLL"
"12888","1E LLL"
"12889","1C LLL"
"12893","4F AB"
"12894","1E LLL"
"12895","8B LLL"
"12896","1F LLL"
"12897","2c LLL"
"12898","1B LLL"
"12901","8g LLL"
"12903","1e LLL"
"12906","1B LLL"
"12907","4F AB"
"12911","1B LLL"
"12912","6D LLL"
"12914","2B H20"
"12918","2H LLL"
"12919","1B AB"
"12920","2B AB"
"12924","1F LLL"
"12925","6i LLL"
"12933","1F LLL"
"12934","6E g18"
"12935","B7C G18"
"12941","1i G18"
"12944","1E AB"
"12946","1E AB"
"12947","1E AB"
"12948","1E Ab"
"12949","1G AB"
"12950","1G ab"
"12952","1G ab"
"12953","2H AB"
"12954","2H AB"
"12955","2L ab"
"12957","1F LLL"
"12958","6e LLL"
"12959","1F AB"
"12961","1F AB"
"12963","1F LLL"
"12970","6f ab"
"12974","2G J19"
"12975","3H J19"
"12977","6D AB"
"12985","6c AB"
"12987","7F CC19"
"12996","6H AB"
"12998","6B AB"
"13003","4G AB"
"13008","17E 19CC"
"13012","3F LLL"
"13013","1D LLL"
"13014","1B LLL"
"13031","1E LLL"
"13032","2E 20C"
"13038","2E LLL"
"13040","2F 20H"
"13041","6H+ LLL"
